,Open,High,Low,Close,EMA_20,Dist_EMA_20,RSI,RSI_Change,Momentum,Range,Target,Signal,Market_Pct_Change,Trade_Cost,Strategy_Returns,Market_Performance,Bot_Performance
2007-03-26,1.3283,1.3346,1.3254,1.333,1.3240621844622886,0.0067502989229626,68.55575868372935,0.4667048803898694,0.0021049466245677,0.0069017254313579,1,1,0.0015003750937734317,0.0,0.0015003750937734317,1.0083843190573303,1.0276828342680526
2007-03-27,1.3329,1.3363,1.3321,1.335,1.325103881180166,0.0074681834083982,66.79536679536665,-1.7603918883627043,0.002478035593602,0.0031460674157303,0,0,-0.0027715355805243425,0.0001,-0.0001,1.00558954603822,1.027580065984626
2007-03-28,1.3359,1.3373,1.3308,1.3313,1.325693987734436,0.0042287377912487,67.97642436149312,1.1810575661264693,-0.0050074738415546,0.0048824457297378,1,1,0.0012769473447007407,0.0001,0.0011769473447007406,1.0068736309388924,1.028789473614754
2007-03-29,1.3312,1.3352,1.3302,1.333,1.3263897984263946,0.0049836040517256,71.17647058823539,3.2000462267422733,0.0,0.0037509377344335,1,1,0.001650412603150686,0.0,0.001650412603150686,1.008535387869174,1.0304874007279965
2007-03-30,1.3332,1.3399,1.3287,1.3352,1.3272288652429285,0.0060058479481701,67.83369803063461,-3.3427725576007816,0.0051946096514341,0.0083882564409826,1,1,0.0009736369083284124,0.0,0.0009736369083284124,1.0095173351461588,1.0314907212949127
2007-04-02,1.3373,1.3381,1.3331,1.3365,1.3281118304578876,0.0063158608708578,68.31896551724151,0.4852674866069009,0.0026256564141036,0.003741114852226,0,1,-0.0026187803965582734,0.0,-0.0026187803965582734,1.0068736309388924,1.0287894736147538
2007-04-03,1.3368,1.338,1.332,1.333,1.3285773704142791,0.0033288460907186,61.276595744680805,-7.042369772560704,-0.0014981273408239,0.0045011252813203,1,1,0.002850712678169609,0.0,0.002850712678169609,1.0097439383639246,1.0317222568103548
2007-04-04,1.3332,1.338,1.3319,1.3368,1.3293604779938717,0.0055963165215767,63.232323232323154,1.9557274876423487,0.0041313002328551,0.0045631358467983,1,1,0.00456313584679835,0.0,0.00456313584679835,1.0143515371251604,1.0364301456243459
2007-04-05,1.3366,1.3441,1.3352,1.3429,1.3306499562801697,0.009206060288068,61.92468619246869,-1.3076370398544697,0.0074268567141786,0.0066274480601683,0,0,-0.00379775113560199,0.0001,-0.0001,1.0104992824231436,1.0363265026097834
2007-04-06,1.3429,1.3432,1.3363,1.3378,1.3313309128249156,0.0048591128717637,57.36434108527136,-4.560345107197328,0.0019472738166568,0.0051577216325309,0,1,-0.0018687397219316892,0.0001,-0.001968739721931689,1.008610922275096,1.034286245459205
2007-04-09,1.3373,1.3378,1.334,1.3353,1.3317089211273043,0.002696594440214,53.42205323193898,-3.942287853332374,-0.0008978675645342,0.0028458024413989,1,1,0.006440500262113513,0.0,0.006440500262113513,1.0151068811843793,1.0409475662941854
2007-04-10,1.3354,1.3455,1.3349,1.3439,1.3328699762580374,0.008275393653122,55.3734061930783,1.951352961139321,0.0081770442610653,0.0078874916288413,0,0,-0.0006696926854677931,0.0001,-0.0001,1.0144270715310821,1.040843471537556
