,Open,High,Low,Close,EMA_20,Dist_EMA_20,RSI,RSI_Change,Momentum,Range,ATR,Target
2007-02-27,1.3187,1.3259,1.316,1.3239,1.3107329088245632,0.010045594405075912,75.50561797752829,3.1705925968174853,0.007764329755652,0.00747790618626786,0.007092857142857139,0
2007-02-28,1.324,1.3241,1.318,1.3225,1.3118535841746048,0.00811555188309654,71.46171693735499,-4.043901040173296,0.006545399193241375,0.004612476370510392,0.007057142857142857,0
2007-03-01,1.3226,1.3239,1.3161,1.3186,1.3124960999674995,0.004650604320006471,70.80459770114949,-0.6571192362055029,0.004647619047619012,0.005915364780828173,0.007171428571428574,1
2007-03-02,1.3184,1.3201,1.3143,1.3191,1.3131250428277377,0.004550181420190985,78.05486284289286,7.25026514174337,0.0019749335358905107,0.0043969373057387824,0.006900000000000002,0
2007-03-05,1.32,1.3211,1.3072,1.3088,1.3127131339870008,-0.002980951348537077,55.88914549653571,-22.165717346357148,-0.0075826508947528515,0.010620415647921778,0.0072571428571428665,1
2007-03-06,1.3091,1.313,1.308,1.3127,1.312711883131096,-9.052352803929418e-06,49.736842105263186,-6.152303391272525,-0.00845985346325262,0.0038089433991010083,0.006721428571428577,1
2007-03-07,1.3127,1.3185,1.3109,1.3176,1.3131774180709916,0.0033678479907955387,54.30622009569385,4.569377990430667,-0.0037051039697542087,0.0057680631451123635,0.006885714285714305,0
2007-03-08,1.3178,1.3182,1.3117,1.313,1.3131605211118496,-0.00012224028157174335,49.24078091106275,-5.065439184631103,-0.0042469285605946094,0.004950495049504912,0.006978571428571437,0
2007-03-09,1.313,1.3159,1.3087,1.3114,1.3129928524345307,-0.0012131463104139038,45.53376906318086,-3.707011847881887,-0.005837313319687731,0.0054903156931524295,0.007200000000000016,1
2007-03-12,1.3126,1.3199,1.3109,1.3189,1.3135554379169563,0.004068775423380012,55.03875968992231,9.504990626741446,0.0077169926650366705,0.00682386837516121,0.007414285714285739,1
2007-03-13,1.3188,1.3221,1.3156,1.3195,1.31412158668677,0.004092782104577018,55.38461538461517,0.34585569469285815,0.005180163022777462,0.004926108374384199,0.007492857142857158,1
2007-03-14,1.3196,1.3244,1.3176,1.3224,1.3149100070023156,0.005696201989335982,59.25233644859805,3.8677210639828843,0.0036429872495444826,0.0051421657592255875,0.00752857142857144,1
